Bakim Yeri	Ekipman	Teknik Tanitici Numarasi	SCE Grubu	SCE Sebebi	Ekipman Tipi
1007	1100028693	206-2-PT1-1908-H	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028708	206-2-PT1-1909-K	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100028723	206-2-PT1-1910-L	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Transmitter
1007	1100036896	206-2-PZH2-0336	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100036914	206-2-PZH2-0337	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100036952	206-2-PZL2-0120	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	Pressure Switch
1007	1100030023	206-2-TE1-0206	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	TC Temperature Element
1007	1100025399	206-2-TE1-0209	Acil Durdurma Sistemleri (ESD)	OPER. HAZOP/LOPA	TC Temperature Element
1007	1100038694	206-2-XCV1-0708	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Instrument Control Valve
1007	1100030150	206-2-XCV1-0712	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030218	206-2-XCV1-0738	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030312	206-2-XCV1-0742	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030319	206-2-XCV1-0768	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030540	206-2-XCV1-0812	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030547	206-2-XCV1-0838	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100030613	206-2-XCV1-0842	Acil Durum İzolasyon Vanaları	OPER. HAZOP/LOPA	Pneumatic-Hydraulic Actuator
1007	1100102169	206-PCV-2501-1	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102170	206-PCV-2501-2	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102171	206-PCV-2501-3	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102172	206-PCV-2501-4	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102173	206-PCV-2501-5	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102174	206-PCV-2501-6	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102175	206-PCV-2501-7	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102176	206-PCV-2501-8	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100102177	206-PCV-2501-9	Deluge Sistemleri	DELUGE SISTEMI	Self-Operated Control Valve
1007	1100202796	206-XZV6-1901	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Miscellaneous Instrument Valve
1007	1100202797	206-XZV6-1904	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Miscellaneous Instrument Valve
1007	1100202798	206-XZV6-1907	Acil Durdurma Sistemleri (ESD)	OPR. HAZOP/LOPA	Miscellaneous Instrument Valve
1010	1100026949	207-PT-213-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1010	1100026958	207-PT-213-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1010	1100026968	207-PT-213-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1010	1100026977	207-PT-213-D	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1010	1100026987	207-PT-213-E	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	Pressure Transmitter
1010	1100106807	207-TE-212-A	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1010	1100106808	207-TE-212-B	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1010	1100106809	207-TE-212-C	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1010	1100106810	207-TE-212-D	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1010	1100106811	207-TE-212-E	Acil Durdurma Sistemleri (ESD)	HAZOP/LOPA EKIPMANI	TC Temperature Element
1010	1100107972	207-UV-205-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100107977	207-UV-206-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100107967	207-UV-211-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
1010	1100107982	207-UV-212-B	Acil Durum İzolasyon Vanaları	HAZOP/LOPA EKIPMANI	Instrument Control Valve
